goos: linux
goarch: amd64
pkg: lc25bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkIterative/k=20/n=10000-24  	   32956	     36508 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=10000-24  	   32984	     36390 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=10000-24  	   33016	     36952 ns/op	      16 B/op	       1 allocs/op
BenchmarkIterative/k=20/n=10000-24  	   33175	     36154 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=100-24       	 2645971	       454.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=100-24       	 2669862	       448.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=100-24       	 2650684	       451.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=100-24       	 2641292	       452.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=100-24       	 2659003	       451.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=100-24       	 2630631	       455.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=100-24       	 2652550	       451.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=100-24       	 2666545	       451.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=100-24       	 2603864	       454.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=100-24       	 2659536	       453.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=1000-24      	  284774	      4268 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=1000-24      	  283111	      4218 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=1000-24      	  273044	      4253 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=1000-24      	  282616	      4250 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=1000-24      	  281911	      4320 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=1000-24      	  283176	      4247 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=1000-24      	  282007	      4237 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=1000-24      	  278221	      4256 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=1000-24      	  282108	      4244 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=1000-24      	  279456	      4225 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=10000-24     	   28592	     42054 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=10000-24     	   28464	     42337 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=10000-24     	   28348	     42125 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=10000-24     	   28609	     41881 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=10000-24     	   28122	     42341 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=10000-24     	   28621	     41979 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=10000-24     	   26859	     43203 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=10000-24     	   28336	     42386 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=10000-24     	   28597	     41902 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=5/n=10000-24     	   28424	     42246 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=100-24      	 2846920	       416.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=100-24      	 2881316	       414.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=100-24      	 2866604	       418.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=100-24      	 2863490	       417.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=100-24      	 2872382	       415.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=100-24      	 2879864	       424.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=100-24      	 2880363	       416.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=100-24      	 2876709	       417.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=100-24      	 2855569	       418.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=100-24      	 2887503	       416.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=1000-24     	  309789	      3872 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=1000-24     	  305130	      3867 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=1000-24     	  309638	      3864 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=1000-24     	  303135	      3883 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=1000-24     	  309622	      3867 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=1000-24     	  306284	      3863 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=1000-24     	  304401	      3872 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=1000-24     	  299976	      3870 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=1000-24     	  307908	      3869 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=1000-24     	  307778	      3845 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=10000-24    	   31191	     38439 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=10000-24    	   31430	     38185 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=10000-24    	   31125	     38487 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=10000-24    	   31222	     38257 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=10000-24    	   31273	     38325 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=10000-24    	   31432	     38208 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=10000-24    	   31206	     38436 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=10000-24    	   31189	     38467 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=10000-24    	   31161	     38512 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=10/n=10000-24    	   31353	     38351 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=100-24      	 3069013	       394.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=100-24      	 3015708	       397.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=100-24      	 3017377	       404.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=100-24      	 3047084	       398.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=100-24      	 3017311	       397.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=100-24      	 3032846	       400.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=100-24      	 3000091	       399.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=100-24      	 3072106	       393.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=100-24      	 3040879	       396.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=100-24      	 3017163	       396.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=1000-24     	  324054	      3640 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=1000-24     	  329899	      3651 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=1000-24     	  323288	      3646 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=1000-24     	  324372	      3663 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=1000-24     	  317924	      3741 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=1000-24     	  328248	      3658 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=1000-24     	  329890	      3641 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=1000-24     	  325344	      3657 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=1000-24     	  328263	      3664 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=1000-24     	  324232	      3677 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=10000-24    	   32236	     36655 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=10000-24    	   33150	     36173 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=10000-24    	   32894	     36502 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=10000-24    	   31711	     37020 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=10000-24    	   33000	     36204 ns/op	      16 B/op	       1 allocs/op
BenchmarkNoTuple/k=20/n=10000-24    	   33052	     36217 ns/op	      16 B/op	       1 allocs/op
