goos: linux
goarch: amd64
pkg: lc33bench
cpu: AMD Ryzen AI 9 HX 370 w/ Radeon 890M           
BenchmarkLinearMissing/n=500-24         	 9548292	       120.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=500-24         	10253407	       117.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=500-24         	 9795594	       120.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=500-24         	 9639939	       120.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=500-24         	10588256	       119.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=600-24         	 8163801	       142.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=600-24         	 7888503	       140.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=600-24         	 8873071	       136.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=600-24         	 8800700	       139.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=600-24         	 8911600	       136.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=600-24         	 8713456	       134.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=600-24         	 8602410	       138.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=600-24         	 8699313	       137.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=600-24         	 8756308	       138.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=600-24         	 8508742	       135.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=700-24         	 7487554	       158.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=700-24         	 7847557	       156.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=700-24         	 7789232	       153.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=700-24         	 7762609	       157.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearMissing/n=700-24         	 7817149	       160.7 ns/op	       0 B/op	       0 allocs/op
